method,prompt_length_group,num_prompts,avg_words,avg_steps,avg_guidance_scale,avg_elapsed_seconds,avg_elapsed_seconds_no_warmup,max_elapsed_seconds,avg_peak_vram_gb
fixed_20,all,30,30,20,4.5,1.0571361166667126,0.9963466413793459,2.820030900000347,6.979499816894531
fixed_20,10_words,10,10,20,4.5,1.1990932500000326,1.0189890666666643,2.820030900000347,6.979499816894531
fixed_20,30_words,10,30,20,4.5,0.9717766400000982,0.9717766400000982,1.0156314000000748,6.979499816894531
fixed_20,50_words,10,50,20,4.5,1.0005384600000071,1.0005384600000071,1.021550500000103,6.979499816894531
deepseek_pcas_7_3,all,30,30,23.4,4.733333333333333,1.3469150599999922,1.3034504206896538,2.607389599999806,6.979499816894531
deepseek_pcas_7_3,10_words,10,10,15,4.25,1.1067742100000941,0.9400391666667929,2.607389599999806,6.979499816894531
deepseek_pcas_7_3,30_words,10,30,27.2,4.95,1.4195021899999118,1.4195021899999118,1.5100897000002078,6.979499816894531
deepseek_pcas_7_3,50_words,10,50,28,5.0,1.51446877999997,1.51446877999997,1.6803186999995887,6.979499816894531
deepseek_balanced_pcas,all,30,30,18.466666666666665,4.586666666666667,0.8879850099993443,0.8439278931029297,2.1656413999953656,6.979499816894531
deepseek_balanced_pcas,10_words,10,10,12,4.2,0.7694354399987787,0.6143014444436025,2.1656413999953656,6.979499816894531
deepseek_balanced_pcas,30_words,10,30,21.4,4.76,0.928099949999887,0.928099949999887,0.9636622000034549,6.979499816894531
deepseek_balanced_pcas,50_words,10,50,22,4.8,0.9664196399993671,0.9664196399993671,1.0197016000020085,6.979499816894531
