prompt,word_count,relation_count,style_count,text_rendering,length_score,relation_score,style_score,text_score,complexity_score,complexity_label,selected_steps,selected_guidance_scale,selected_height,selected_width
red apple resting on wooden table under soft studio light,10,1,1,False,0.2,0.3333333333333333,0.3333333333333333,0.0,0.2233333333333333,short,10,4.0,512,512
golden retriever sitting on grass beside a white garden ball,10,1,0,False,0.2,0.3333333333333333,0.0,0.0,0.18999999999999997,short,10,4.0,512,512
blue sports car parked on empty road at bright noon,10,0,0,False,0.2,0.0,0.0,0.0,0.13999999999999999,short,10,4.0,512,512
white ceramic mug steaming on kitchen counter near morning window,10,1,0,False,0.2,0.3333333333333333,0.0,0.0,0.18999999999999997,short,10,4.0,512,512
sunflower standing in clear glass vase beside folded linen napkin,10,1,0,False,0.2,0.3333333333333333,0.0,0.0,0.18999999999999997,short,10,4.0,512,512
black bicycle leaning against brick wall after summer rain quietly,10,0,0,False,0.2,0.0,0.0,0.0,0.13999999999999999,short,10,4.0,512,512
chocolate cake slice on porcelain plate with silver fork nearby,10,0,0,False,0.2,0.0,0.0,0.0,0.13999999999999999,short,10,4.0,512,512
green backpack hanging from classroom chair under fluorescent lights quietly,10,1,0,False,0.2,0.3333333333333333,0.0,0.0,0.18999999999999997,short,10,4.0,512,512
white sailboat drifting across calm lake during golden sunset alone,10,0,0,False,0.2,0.0,0.0,0.0,0.13999999999999999,short,10,4.0,512,512
red sneakers placed on concrete floor beside gym lockers neatly,10,1,0,False,0.2,0.3333333333333333,0.0,0.0,0.18999999999999997,short,10,4.0,512,512
"A robot chef cooks pasta in a modern kitchen, steam rising from the pan, stainless tools hanging nearby, warm cinematic lighting, and a curious child watching from the doorway quietly.",30,0,1,False,0.6,0.0,0.3333333333333333,0.0,0.4533333333333333,medium,20,4.5,512,512
"A cozy bedroom glows with warm sunset light through a large window, with folded blankets, potted plants, framed photos, and a small desk ready for reading beside tea and pencils.",30,1,0,False,0.6,0.3333333333333333,0.0,0.0,0.47,medium,20,4.5,512,512
"A futuristic train station has glass walls, hovering signs, morning sunlight, travelers waiting on silver benches, and a sleek maglev train arriving beside platform seven with soft blue interior lights.",30,1,0,False,0.6,0.3333333333333333,0.0,0.0,0.47,medium,20,4.5,512,512
"A young astronaut plants a flag on a colorful alien planet, while crystal rocks, purple grass, two moons, and a tiny rover fill the background under pale green evening clouds.",30,1,0,False,0.6,0.3333333333333333,0.0,0.0,0.47,medium,20,4.5,512,512
"A vintage camera rests on a wooden desk surrounded by travel postcards, brass coins, a notebook, warm lamplight, and an open map of Europe beside a half packed canvas bag.",30,1,0,False,0.6,0.3333333333333333,0.0,0.0,0.47,medium,20,4.5,512,512
"A small cafe corner holds leafy plants, stacked books, a blue armchair, soft afternoon light, and a steaming cup of coffee beside a handwritten menu on the narrow wooden table.",30,1,0,False,0.6,0.3333333333333333,0.0,0.0,0.47,medium,20,4.5,512,512
"A watercolor painting shows a mountain village beside a river, with stone bridges, red roofs, distant mist, pine trees, and tiny people walking home under a pale evening sky together.",30,2,1,False,0.6,0.6666666666666666,0.3333333333333333,0.0,0.5533333333333333,medium,20,4.5,512,512
"A fantasy library rises around a spiral staircase, with floating candles, glowing books, brass ladders, velvet chairs, and a cat sleeping beneath the desk near a blue magical globe quietly.",30,1,1,False,0.6,0.3333333333333333,0.3333333333333333,0.0,0.5033333333333333,medium,20,4.5,512,512
"A rainy city street reflects shop windows and traffic lights, while pedestrians carry umbrellas past bicycles, food stalls, neon signs, and puddles glowing orange under a dark cinematic evening sky.",30,1,2,False,0.6,0.3333333333333333,0.6666666666666666,0.0,0.5366666666666666,medium,20,4.5,512,512
"A wooden cabin sits in a snowy forest, smoke rising from the chimney, warm windows glowing, pine branches bending, and footprints crossing the yard toward a small frozen pond nearby.",30,0,0,False,0.6,0.0,0.0,0.0,0.42,medium,20,4.5,512,512
"A small robot holds a red umbrella beside a striped cat in front of a rainy bookstore, while the window sign says SANA, puddles reflect yellow lamps, two bicycles lean nearby, and a delivery drone hovers above the narrow street as shoppers wait under awnings during a gentle evening storm.",50,4,0,True,1.0,1.0,0.0,1.0,0.9,long,28,5.0,512,512
"A cyberpunk street market glows at midnight with crowded food stalls, neon kanji signs, rain reflections, masked shoppers, steam vents, hovering taxis, and a musician playing beside a noodle cart, while a child points at a holographic dragon above the wet plaza near a flickering red vending machine tonight outside.",50,3,2,False,1.0,1.0,0.6666666666666666,0.0,0.9166666666666666,long,28,5.0,512,512
"A medieval wizard teaches three students inside a crowded library, with glowing books floating above an oak table, candles dripping wax, a raven watching from a shelf, maps pinned to stone walls, and a silver telescope aimed at moonlight through the tall arched window behind a stack of scrolls tonight.",50,2,0,False,1.0,0.6666666666666666,0.0,0.0,0.7999999999999999,long,28,5.0,512,512
"A busy spaceport spreads beneath an orange sky, where two astronauts repair a rover beside a cargo ship, engineers carry tools, fuel pipes cross the landing pad, warning lights blink, and tourists photograph distant planets from behind glass while security robots guide them toward a silver observation balcony above calmly.",50,3,0,False,1.0,1.0,0.0,0.0,0.85,long,28,5.0,512,512
"A family picnic fills a sunny park, where a child flies a kite, a dog sleeps beneath the table, balloons drift near a fountain, grandparents pour lemonade, sandwiches sit in baskets, and clouds cast soft shadows across the grass while birds circle above a blanket covered with fresh strawberries nearby.",50,2,0,False,1.0,0.6666666666666666,0.0,0.0,0.7999999999999999,long,28,5.0,512,512
"A steampunk workshop contains brass gears, glass tubes, a robot bird, a chalkboard that says PCAS, copper lamps, scattered blueprints, and an inventor tightening a valve while sparks fly from a half built clockwork engine beside shelves packed with lenses springs tools and polished wooden boxes under smoky golden light.",50,2,2,True,1.0,0.6666666666666666,0.6666666666666666,1.0,0.9166666666666666,long,28,5.0,512,512
"A seaside festival begins at dusk with lanterns, musicians, children dancing, fireworks over the water, fishing boats tied to the pier, vendors selling fruit, and a painter capturing the scene while waves shimmer under purple clouds near a wooden stage covered with flowers ribbons drums and glowing paper stars tonight.",50,2,0,False,1.0,0.6666666666666666,0.0,0.0,0.7999999999999999,long,28,5.0,512,512
"A detective office is cluttered with case files, where a woman studies a city map, a man holds a flashlight, clues cover the wall, rain streaks the window, and a clock points toward midnight as coffee steams beside photographs marked with red thread across a dusty wooden desk quietly tonight.",50,1,0,False,1.0,0.3333333333333333,0.0,0.0,0.75,long,28,5.0,512,512
"A fantasy battle unfolds in heavy rain as a dragon flies above a castle, knights defend a bridge, archers light flaming arrows, horses rear near broken shields, and lightning reveals a wizard casting blue magic while villagers watch from stone windows beside banners torn by wind over the river below.",50,3,1,False,1.0,1.0,0.3333333333333333,0.0,0.8833333333333333,long,28,5.0,512,512
"A futuristic classroom shows robots and children building a small rocket, posters spelling SANA on the wall, tablets glowing on desks, a teacher adjusting holographic equations, and tiny drones carrying tools between colorful experiment stations while sunlight enters through wide windows above plants wires gears notebooks and safety helmets neatly.",50,3,0,True,1.0,1.0,0.0,1.0,0.9,long,28,5.0,512,512
