method,prompt_length_group,num_images,avg_words,avg_steps,avg_guidance_scale,avg_elapsed_seconds_no_warmup,avg_clip_cosine,avg_clip_score,min_clip_score,max_clip_score,avg_peak_vram_gb
fixed_20,all,30,30,20,4.5,1.5369830689654416,0.3576220174630483,35.76220174630483,29.935193061828613,39.4730806350708,6.979499816894531
fixed_20,10_words,10,10,20,4.5,1.5992069777793303,0.34336199760437014,34.33619976043701,29.935193061828613,38.1231427192688,6.979499816894531
fixed_20,30_words,10,30,20,4.5,1.5799988499980828,0.36614065170288085,36.614065170288086,31.917190551757812,39.2966628074646,6.979499816894531
fixed_20,50_words,10,50,20,4.5,1.4379657700003008,0.3633634030818939,36.33634030818939,31.89433515071869,39.4730806350708,6.979499816894531
balanced_pcas,all,30,30,16,4.4,1.739687624138555,0.35772367417812345,35.77236741781235,30.049234628677368,39.88931179046631,6.979499816894531
balanced_pcas,10_words,10,10,8,4.0,1.1023847111128917,0.34064575731754304,34.0645757317543,30.049234628677368,37.68494129180908,6.979499816894531
balanced_pcas,30_words,10,30,16,4.4,2.027003780000814,0.367568701505661,36.7568701505661,31.894874572753906,39.88931179046631,6.979499816894531
balanced_pcas,50_words,10,50,24,4.8,2.0259440899993932,0.36495656371116636,36.49565637111664,32.103127241134644,39.31342661380768,6.979499816894531
deepseek_balanced_pcas,all,30,30,18.466666666666665,4.586666666666667,2.0233090206893394,0.35812825759251915,35.812825759251915,30.049234628677368,39.509618282318115,6.979499816894531
deepseek_balanced_pcas,10_words,10,10,12,4.2,0.812247166666364,0.3441403567790985,34.41403567790985,30.049234628677368,38.30401599407196,6.979499816894531
deepseek_balanced_pcas,30_words,10,30,21.4,4.76,3.6447864200003095,0.36643652617931366,36.643652617931366,31.95175528526306,39.509618282318115,6.979499816894531
deepseek_balanced_pcas,50_words,10,50,22,4.8,1.491787289999047,0.3638078898191452,36.38078898191452,31.64258897304535,39.2461359500885,6.979499816894531
calibrated_pcas,all,30,30,10.666666666666666,4.5,0.6747442379318869,0.36234253346920015,36.23425334692001,30.499085783958435,40.530937910079956,6.979499816894531
calibrated_pcas,10_words,10,10,10.4,4.5,0.6470558888904634,0.3467440128326416,34.67440128326416,30.499085783958435,38.31065893173218,6.979499816894531
calibrated_pcas,30_words,10,30,11.6,4.5,0.7425964900008694,0.3724213123321533,37.24213123321533,32.646557688713074,40.530937910079956,6.979499816894531
calibrated_pcas,50_words,10,50,10,4.5,0.6318115000001854,0.36786227524280546,36.78622752428055,34.11867916584015,39.402419328689575,6.979499816894531
calibrated_pcas_llm_features,all,30,30,11.333333333333334,4.5,1.0934986310340122,0.36229678293069206,36.229678293069206,29.506394267082214,40.530937910079956,6.979499816894531
calibrated_pcas_llm_features,10_words,10,10,12,4.5,0.8452335888869129,0.34699366688728334,34.69936668872833,29.506394267082214,38.31065893173218,6.979499816894531
calibrated_pcas_llm_features,30_words,10,30,12,4.5,1.1406277400012186,0.3720344066619873,37.20344066619873,32.646557688713074,40.530937910079956,6.979499816894531
calibrated_pcas_llm_features,50_words,10,50,10,4.5,1.2698080599991954,0.36786227524280546,36.78622752428055,34.11867916584015,39.402419328689575,6.979499816894531
